code	uic	naam	middel_naam	korte_naam	rdt_url	type	geo_lat	geo_lng
kpn	8400353	Kampen	Kampen	Kampen	kampen	stoptreinstation	52.559723	5.9216666
krd	8400355	Kerkrade Centrum	Kerkrade C.	Kerkrade	kerkrade-centrum	knooppuntstoptreinstation	50.861668	6.0575
krg	8400370	Kruiningen-Yerseke	Kruiningen-Y.	Kruiningen	kruiningen-yerseke	stoptreinstation	51465	4.0372224
ktr	8400359	Kesteren	Kesteren	Kesteren	kesteren	stoptreinstation	51.931385	5.5833464
kw	8400369	Kropswolde	Kropswolde	Kropswolde	kropswolde	stoptreinstation	53.161736	6.7220883
kzd	8400364	Koog-Zaandijk	Koog-Zaandijk	Koog Zaand	koog-zaandijk	stoptreinstation	52.469166	4805
laa	8400380	Den Haag Laan v NOI	Laan v NOI	Laan v NOI	den-haag-laan-v-noi	intercitystation	52.07861	4.3427777
lc	8400399	Lochem	Lochem	Lochem	lochem	stoptreinstation	52.166668	6.4263887
ldl	8400384	Leiden Lammenschans	Lammenschans	Leiden Lam	leiden-lammenschans	stoptreinstation	52.146946	4.4925
ldm	8400386	Leerdam	Leerdam	Leerdam	leerdam	stoptreinstation	51.894722	5.0913887
ledn	8400390	Leiden Centraal	Leiden C.	Leiden C	leiden-centraal	knooppuntintercitystation	52.16611	4.4816666
lg	8400548	Landgraaf	Landgraaf	Landgraaf	landgraaf	knooppuntstoptreinstation	50.89639	6.0191665
lls	8400394	Lelystad Centrum	Lelystad C.	Lelystad	lelystad-centrum	knooppuntintercitystation	52.50778	5.472778
lp	8400403	Loppersum	Loppersum	Loppersum	loppersum	stoptreinstation	53.334713	6.7472625
ltn	8400405	Lunteren	Lunteren	Lunteren	lunteren	stoptreinstation	52.085278	5.6244445
ltv	8400395	Lichtenvoorde-Groenlo	Lichtenvoorde-G.	Lichtenv-G	lichtenvoorde-groenlo	stoptreinstation	52.01188	6.59641
lut	8400248	Geleen-Lutterade	Geleen-Lutterade	Geleen-Lut	geleen-lutterade	stoptreinstation	50.975555	5.8247223
lw	8400387	Leeuwarden	Leeuwarden	Leeuwarden	leeuwarden	knooppuntintercitystation	53.195835	5.792222
lwc	8400389	Leeuwarden Camminghaburen	Camminghaburen	Camminghab	leeuwarden-camminghaburen	stoptreinstation	53.20218	5.8422966
mas	8400419	Maarssen	Maarssen	Maarssen	maarssen	stoptreinstation	52.135277	5.0336113
mdb	8400436	Middelburg	Middelburg	Middelburg	middelburg	stoptreinstation	51.49472	3.6172223
mes	8400434	Meerssen	Meerssen	Meerssen	meerssen	sneltreinstation	50.88288	5.7509995
mg	8400427	Mantgum	Mantgum	Mantgum	mantgum	stoptreinstation	53.12964	5.7131996
mmlh	8400446	Mook Molenhoek	Molenhoek	Mook Molen	mook-molenhoek	stoptreinstation	51.756943	5.872778
mp	8400435	Meppel	Meppel	Meppel	meppel	knooppuntstoptreinstation	52.690834	6.1975
mrb	8400428	Mariënberg	Mariënberg	Mariënberg	marienberg	knooppuntsneltreinstation	52.509445	6.575278
mrn	8400417	Maarn	Maarn	Maarn	maarn	knooppuntstoptreinstation	52.064167	5.37
mss	8400422	Maassluis	Maassluis	Maassluis	maassluis	knooppuntstoptreinstation	51.91611	4.254722
msw	8400421	Maassluis West	Maassluis West	Maassl W	maassluis-west	stoptreinstation	51.925835	4.236111
mt	8400424	Maastricht	Maastricht	Maastricht	maastricht	knooppuntintercitystation	50.850277	5.7055554
mth	8400430	Martenshoek	Martenshoek	Martensh	martenshoek	stoptreinstation	53.160725	6.7402987
mtr	8400426	Maastricht Randwyck	Maastricht Randw	Maastr Rw	maastricht-randwyck	stoptreinstation	50.83861	5.717222
mz	8400432	Maarheeze	Maarheeze	Maarheeze	maarheeze	stoptreinstation	51.30376	5.630343
na	8400454	Nieuw Amsterdam	Nieuw Amsterdam	Nw A'dam	nieuw-amsterdam	sneltreinstation	52.718613	6.848611
ndb	8400452	Naarden-Bussum	Naarden-Bussum	Naarden-B	naarden-bussum	knooppuntstoptreinstation	52.280277	5.1569443
nh	8400467	Nuth	Nuth	Nuth	nuth	stoptreinstation	50.919445	5.892778
nkk	8400469	Nijkerk	Nijkerk	Nijkerk	nijkerk	stoptreinstation	52.22222	5.493889
nm	8400470	Nijmegen	Nijmegen	Nijmegen	nijmegen	knooppuntintercitystation	51.843613	5.8522224
nmd	8400475	Nijmegen Dukenburg	Nm Dukenburg	Dukenburg	nijmegen-dukenburg	stoptreinstation	51.824165	5.7955556
nmh	8400468	Nijmegen Heyendaal	Nm Heyendaal	Heyendaal	nijmegen-heyendaal	stoptreinstation	51.826946	5.8675
nml	8400451	Nijmegen Lent	Lent	Lent	nijmegen-lent	stoptreinstation	51.8642	5.8595
ns	8400466	Nunspeet	Nunspeet	Nunspeet	nunspeet	stoptreinstation	52.370834	5.785278
nsch	8400457	Bad Nieuweschans	Bad Nieuweschans	Nweschans	bad-nieuweschans	knooppuntstoptreinstation	53.1844	7.19937
nvd	8400472	Nijverdal	Nijverdal	Nijverdal	nijverdal	stoptreinstation	52.36555	6.471111
nvp	8400460	Nieuw Vennep	Nieuw Vennep	Nw Vennep	nieuw-vennep	stoptreinstation	52.25889	4.6455555
nwk	8400455	Nieuwerkerk a/d IJssel	Nieuwerkerk	Nieuwerkrk	nieuwerkerk-a-d-ijssel	stoptreinstation	51.96528	4.6169443
nwl	8400563	Schiedam Nieuwland	Nieuwland	Nieuwland	schiedam-nieuwland	stoptreinstation	51.922222	4.382222
o	8400495	Oss	Oss	Oss	oss	knooppuntintercitystation	51.765556	5.5322223
obd	8400480	Obdam	Obdam	Obdam	obdam	stoptreinstation	52.678055	4.9072223
odb	8400498	Oudenbosch	Oudenbosch	Oudenbosch	oudenbosch	stoptreinstation	51.587776	4.5333333
odz	8400483	Oldenzaal	Oldenzaal	Oldenzaal	oldenzaal	stoptreinstation	52.30639	6.9347224
omn	8400487	Ommen	Ommen	Ommen	ommen	knooppuntsneltreinstation	52.509445	6.4158335
op	8400494	Opheusden	Opheusden	Opheusden	opheusden	stoptreinstation	51.926163	5.6371145
ost	8400486	Olst	Olst	Olst	olst	stoptreinstation	52.33472	6.1130557
ot	8400482	Oisterwijk	Oisterwijk	Oisterwijk	oisterwijk	stoptreinstation	51.582222	5.1941667
otb	8400489	Oosterbeek	Oosterbeek	Oosterbeek	oosterbeek	stoptreinstation	51995	5.84
ovn	8400501	Overveen	Overveen	Overveen	overveen	stoptreinstation	52.39111	4.606111
ow	8400496	Oss West	Oss West	Oss W	oss-west	stoptreinstation	51.758057	5.5055556
